Width,Curve Length,Depth
100,100,0
100,100.999589,6.142569
100,101.339451,7.118937
100,101.679315,7.980477
100,102.01918,8.761128
100,102.359046,9.480894
100,102.698913,10.152729
100,103.038781,10.785596
100,103.378651,11.385992
100,103.718521,11.958809
100,104.058392,12.507836
100,104.398265,13.03608
100,104.738138,13.54597
100,105.078013,14.039508
100,105.417888,14.518359
100,105.757765,14.983933
100,106.097642,15.437429
100,106.43752,15.879883
100,106.777399,16.312192
100,107.117279,16.735143
100,107.45716,17.149427
100,107.797042,17.555659
100,108.136925,17.954384
100,108.476809,18.346091
100,108.816693,18.731221
100,109.156578,19.11017
100,109.496464,19.4833
100,109.836351,19.850938
100,110.176239,20.213384
100,110.516127,20.570911
100,110.856017,20.923772
100,111.195907,21.272199
100,111.535798,21.616406
100,111.875689,21.956591
100,112.215581,22.292939
100,112.555474,22.625619
100,112.895368,22.954792
100,113.235262,23.280605
100,113.575157,23.603199
100,113.915053,23.922702
100,114.25495,24.239237
100,114.594847,24.552919
100,114.934745,24.863856
100,115.274643,25.172148
100,115.614542,25.477892
100,115.954442,25.781178
100,116.294342,26.082092
100,116.634243,26.380715
100,116.974145,26.677124
100,117.314047,26.971391
100,117.65395,27.263585
100,117.993853,27.553774
100,118.333757,27.842018
100,118.673662,28.128378
100,119.013567,28.41291
100,119.353473,28.695669
100,119.693379,28.976707
100,120.033286,29.256073
100,120.373193,29.533814
100,120.713101,29.809975
100,121.05301,30.084601
100,121.392919,30.357732
100,121.732828,30.629408
100,122.072738,30.899668
100,122.412649,31.168549
100,122.75256,31.436085
100,123.092471,31.70231
100,123.432383,31.967258
100,123.772296,32.230959
100,124.112209,32.493444
100,124.452122,32.754742
100,124.792036,33.014881
100,125.131951,33.273888
100,125.471866,33.531789
100,125.811781,33.788609
100,126.151697,34.044374
100,126.491613,34.299105
100,126.83153,34.552827
100,127.171447,34.80556
100,127.511364,35.057327
100,127.851282,35.308148
100,128.191201,35.558042
100,128.53112,35.80703
100,128.871039,36.055129
100,129.210959,36.302359
100,129.550879,36.548735
100,129.890799,36.794276
100,130.23072,37.038999
100,130.570641,37.282918
100,130.910563,37.52605
100,131.250485,37.768409
100,131.590408,38.010011
100,131.930331,38.25087
100,132.270254,38.490999
100,132.610177,38.730413
100,132.950101,38.969123
100,133.290026,39.207144
100,133.62995,39.444487
100,133.969876,39.681164
100,134.309801,39.917187
100,134.649727,40.152568
100,134.989653,40.387318
150,150,0
150.0,151.499383,9.213854
150.0,152.009177,10.678406
150.0,152.518973,11.970715
150.0,153.02877,13.141693
150.0,153.538569,14.22134
150.0,154.04837,15.229094
150.0,154.558172,16.178393
150.0,155.067976,17.078988
150.0,155.577782,17.938213
150.0,156.087589,18.761754
150.0,156.597397,19.554119
150.0,157.107208,20.318955
150.0,157.617019,21.059261
150.0,158.126832,21.777539
150.0,158.636647,22.475899
150.0,159.146463,23.156143
150.0,159.65628,23.819824
150.0,160.166099,24.468288
150.0,160.675919,25.102714
150.0,161.185741,25.724141
150.0,161.695563,26.333488
150.0,162.205388,26.931576
150.0,162.715213,27.519136
150.0,163.22504,28.096831
150.0,163.734867,28.665255
150.0,164.244697,29.22495
150.0,164.754527,29.776407
150.0,165.264358,30.320075
150.0,165.774191,30.856367
150.0,166.284025,31.385659
150.0,166.79386,31.908299
150.0,167.303696,32.424609
150.0,167.813534,32.934887
150.0,168.323372,33.439408
150.0,168.833211,33.938429
150.0,169.343052,34.432188
150.0,169.852894,34.920908
150.0,170.362736,35.404798
150.0,170.87258,35.884053
150.0,171.382425,36.358856
150.0,171.89227,36.829379
150.0,172.402117,37.295783
150.0,172.911965,37.758222
150.0,173.421813,38.216838
150.0,173.931663,38.671767
150.0,174.441514,39.123138
150.0,174.951365,39.571072
150.0,175.461217,40.015685
150.0,175.971071,40.457086
150.0,176.480925,40.895378
150.0,176.99078,41.33066
150.0,177.500636,41.763027
150.0,178.010493,42.192567
150.0,178.520351,42.619365
150.0,179.030209,43.043504
150.0,179.540069,43.465061
150.0,180.049929,43.884109
150.0,180.55979,44.300721
150.0,181.069652,44.714963
150.0,181.579515,45.126901
150.0,182.089378,45.536598
150.0,182.599242,45.944113
150.0,183.109107,46.349503
150.0,183.618973,46.752823
150.0,184.12884,47.154127
150.0,184.638707,47.553465
150.0,185.148575,47.950887
150.0,185.658444,48.346438
150.0,186.168313,48.740166
150.0,186.678184,49.132113
150.0,187.188054,49.522321
150.0,187.697926,49.910831
150.0,188.207798,50.297683
150.0,188.717671,50.682914
150.0,189.227545,51.06656
150.0,189.73742,51.448658
150.0,190.247295,51.82924
150.0,190.75717,52.20834
150.0,191.267047,52.585991
150.0,191.776924,52.962222
150.0,192.286801,53.337064
150.0,192.79668,53.710545
150.0,193.306558,54.082694
150.0,193.816438,54.453538
150.0,194.326318,54.823103
150.0,194.836199,55.191415
150.0,195.34608,55.558498
150.0,195.855962,55.924377
150.0,196.365845,56.289075
150.0,196.875728,56.652614
150.0,197.385612,57.015017
150.0,197.895496,57.376305
150.0,198.405381,57.736499
150.0,198.915266,58.095619
150.0,199.425152,58.453685
150.0,199.935039,58.810716
150.0,200.444926,59.16673
150.0,200.954813,59.521746
150.0,201.464702,59.875781
150.0,201.97459,60.228852
150.0,202.484479,60.580977
75,75,0
75.0,75.749692,4.606927
75.0,76.004589,5.339203
75.0,76.259486,5.985358
75.0,76.514385,6.570846
75.0,76.769285,7.11067
75.0,77.024185,7.614547
75.0,77.279086,8.089197
75.0,77.533988,8.539494
75.0,77.788891,8.969107
75.0,78.043794,9.380877
75.0,78.298699,9.77706
75.0,78.553604,10.159478
75.0,78.80851,10.529631
75.0,79.063416,10.888769
75.0,79.318323,11.237949
75.0,79.573231,11.578072
75.0,79.82814,11.909912
75.0,80.08305,12.234144
75.0,80.33796,12.551357
75.0,80.59287,12.862071
75.0,80.847782,13.166744
75.0,81.102694,13.465788
75.0,81.357606,13.759568
75.0,81.61252,14.048415
75.0,81.867434,14.332628
75.0,82.122348,14.612475
75.0,82.377263,14.888203
75.0,82.632179,15.160038
75.0,82.887096,15.428183
75.0,83.142013,15.692829
75.0,83.39693,15.954149
75.0,83.651848,16.212305
75.0,83.906767,16.467444
75.0,84.161686,16.719704
75.0,84.416606,16.969214
75.0,84.671526,17.216094
75.0,84.926447,17.460454
75.0,85.181368,17.702399
75.0,85.43629,17.942027
75.0,85.691212,18.179428
75.0,85.946135,18.414689
75.0,86.201059,18.647892
75.0,86.455982,18.879111
75.0,86.710907,19.108419
75.0,86.965831,19.335883
75.0,87.220757,19.561569
75.0,87.475683,19.785536
75.0,87.730609,20.007843
75.0,87.985535,20.228543
75.0,88.240462,20.447689
75.0,88.49539,20.66533
75.0,88.750318,20.881513
75.0,89.005246,21.096283
75.0,89.260175,21.309683
75.0,89.515105,21.521752
75.0,89.770034,21.73253
75.0,90.024964,21.942055
75.0,90.279895,22.15036
75.0,90.534826,22.357482
75.0,90.789757,22.563451
75.0,91.044689,22.768299
75.0,91.299621,22.972056
75.0,91.554554,23.174751
75.0,91.809487,23.376412
75.0,92.06442,23.577064
75.0,92.319353,23.776733
75.0,92.574288,23.975443
75.0,92.829222,24.173219
75.0,93.084157,24.370083
75.0,93.339092,24.566056
75.0,93.594027,24.761161
75.0,93.848963,24.955416
75.0,94.103899,25.148842
75.0,94.358836,25.341457
75.0,94.613773,25.53328
75.0,94.86871,25.724329
75.0,95.123647,25.91462
75.0,95.378585,26.10417
75.0,95.633523,26.292995
75.0,95.888462,26.481111
75.0,96.143401,26.668532
75.0,96.39834,26.855272
75.0,96.653279,27.041347
75.0,96.908219,27.226769
75.0,97.163159,27.411551
75.0,97.418099,27.595707
75.0,97.67304,27.779249
75.0,97.927981,27.962188
75.0,98.182922,28.144537
75.0,98.437864,28.326307
75.0,98.692806,28.507509
75.0,98.947748,28.688153
75.0,99.20269,28.86825
75.0,99.457633,29.04781
75.0,99.712576,29.226842
75.0,99.967519,29.405358
75.0,100.222463,29.583365
75.0,100.477407,29.760873
75.0,100.732351,29.93789
75.0,100.987295,30.114426
75.0,101.24224,30.290489
50,50,0
50,50.499794,3.071285
50,50.669726,3.559469
50,50.839658,3.990238
50,51.00959,4.380564
50,51.179523,4.740447
50,51.349457,5.076365
50,51.519391,5.392798
50,51.689325,5.692996
50,51.859261,5.979404
50,52.029196,6.253918
50,52.199132,6.51804
50,52.369069,6.772985
50,52.539006,7.019754
50,52.708944,7.25918
50,52.878882,7.491966
50,53.048821,7.718714
50,53.21876,7.939941
50,53.3887,8.156096
50,53.55864,8.367571
50,53.72858,8.574714
50,53.898521,8.777829
50,54.068463,8.977192
50,54.238404,9.173045
50,54.408347,9.36561
50,54.578289,9.555085
50,54.748232,9.74165
50,54.918176,9.925469
50,55.088119,10.106692
50,55.258064,10.285456
50,55.428008,10.461886
50,55.597953,10.6361
50,55.767899,10.808203
50,55.937845,10.978296
50,56.107791,11.146469
50,56.277737,11.31281
50,56.447684,11.477396
50,56.617631,11.640303
50,56.787579,11.801599
50,56.957527,11.961351
50,57.127475,12.119619
50,57.297423,12.27646
50,57.467372,12.431928
50,57.637322,12.586074
50,57.807271,12.738946
50,57.977221,12.890589
50,58.147171,13.041046
50,58.317122,13.190357
50,58.487072,13.338562
50,58.657024,13.485695
50,58.826975,13.631793
50,58.996927,13.776887
50,59.166879,13.921009
50,59.336831,14.064189
50,59.506784,14.206455
50,59.676736,14.347835
50,59.84669,14.488354
50,60.016643,14.628036
50,60.186597,14.766907
50,60.356551,14.904988
50,60.526505,15.0423
50,60.696459,15.178866
50,60.866414,15.314704
50,61.036369,15.449834
50,61.206324,15.584274
50,61.37628,15.718042
50,61.546236,15.851155
50,61.716192,15.983629
50,61.886148,16.115479
50,62.056104,16.246722
50,62.226061,16.377371
50,62.396018,16.50744
50,62.565975,16.636944
50,62.735933,16.765894
50,62.90589,16.894305
50,63.075848,17.022187
50,63.245807,17.149553
50,63.415765,17.276413
50,63.585723,17.40278
50,63.755682,17.528664
50,63.925641,17.654074
50,64.0956,17.779021
50,64.26556,17.903515
50,64.435519,18.027565
50,64.605479,18.151179
50,64.775439,18.274368
50,64.9454,18.397138
50,65.11536,18.519499
50,65.285321,18.641459
50,65.455282,18.763025
50,65.625243,18.884205
50,65.795204,19.005006
50,65.965165,19.125435
50,66.135127,19.2455
50,66.305089,19.365206
50,66.475051,19.484562
50,66.645013,19.603572
50,66.814975,19.722243
50,66.984938,19.840582
50,67.154901,19.958594
50,67.324863,20.076284
50,67.494826,20.193659
50,50.004998,0.306069
50,50.022486,0.649279
50,50.039973,0.865799
50,50.057461,1.038178
