Width,Depth,Curve Length,aspeed
170,56.384534,212.486376,1
170,56.384534,212.486376,1.1
170,56.384534,212.486376,1.2
170,56.384534,212.486376,1.3
170,56.384534,212.486376,1.4
170,56.384534,212.486376,1.5
170,56.384534,212.486376,1.6
170,56.384534,212.486376,1.7
170,56.384534,212.486376,1.8
170,56.384534,212.486376,1.9
170,56.384534,212.486376,2
170,56.384534,212.486376,2.1
170,56.384534,212.486376,2.2
122.859803,39.80773,152.336621,1
122.859803,39.80773,152.336621,1.1
122.859803,39.80773,152.336621,1.2
122.859803,39.80773,152.336621,1.3
122.859803,39.80773,152.336621,1.4
122.859803,39.80773,152.336621,1.5
122.859803,39.80773,152.336621,1.6
122.859803,39.80773,152.336621,1.7
122.859803,39.80773,152.336621,1.8
122.859803,39.80773,152.336621,1.9
122.859803,39.80773,152.336621,2
122.859803,39.80773,152.336621,2.1
122.859803,39.80773,152.336621,2.2
94.563447,29.904879,116.305945,1
94.563447,29.904879,116.305945,1.1
94.563447,29.904879,116.305945,1.2
94.563447,29.904879,116.305945,1.3
94.563447,29.904879,116.305945,1.4
94.563447,29.904879,116.305945,1.5
94.563447,29.904879,116.305945,1.6
94.563447,29.904879,116.305945,1.7
94.563447,29.904879,116.305945,1.8
94.563447,29.904879,116.305945,1.9
94.563447,29.904879,116.305945,2
94.563447,29.904879,116.305945,2.1
94.563447,29.904879,116.305945,2.2
75.630934,23.321708,92.264263,1
75.630934,23.321708,92.264263,1.1
75.630934,23.321708,92.264263,1.2
75.630934,23.321708,92.264263,1.3
75.630934,23.321708,92.264263,1.4
75.630934,23.321708,92.264263,1.5
75.630934,23.321708,92.264263,1.6
75.630934,23.321708,92.264263,1.7
75.630934,23.321708,92.264263,1.8
75.630934,23.321708,92.264263,1.9
75.630934,23.321708,92.264263,2
75.630934,23.321708,92.264263,2.1
75.630934,23.321708,92.264263,2.2
62.87395,18.884975,76.073095,1
62.87395,18.884975,76.073095,1.1
62.87395,18.884975,76.073095,1.2
62.87395,18.884975,76.073095,1.3
62.87395,18.884975,76.073095,1.4
62.87395,18.884975,76.073095,1.5
62.87395,18.884975,76.073095,1.6
62.87395,18.884975,76.073095,1.7
62.87395,18.884975,76.073095,1.8
62.87395,18.884975,76.073095,1.9
62.87395,18.884975,76.073095,2
62.87395,18.884975,76.073095,2.1
62.87395,18.884975,76.073095,2.2
54.038018,15.791688,64.842,1
54.038018,15.791688,64.842,1.1
54.038018,15.791688,64.842,1.2
54.038018,15.791688,64.842,1.3
54.038018,15.791688,64.842,1.4
54.038018,15.791688,64.842,1.5
54.038018,15.791688,64.842,1.6
54.038018,15.791688,64.842,1.7
54.038018,15.791688,64.842,1.8
54.038018,15.791688,64.842,1.9
54.038018,15.791688,64.842,2
54.038018,15.791688,64.842,2.1
54.038018,15.791688,64.842,2.2
