Width,Depth,Curve Length,aspeed
120,39.800848,149.990383,1
120,39.800848,149.990383,1.1
120,39.800848,149.990383,1.2
120,39.800848,149.990383,1.3
120,39.800848,149.990383,1.4
120,39.800848,149.990383,1.5
120,39.800848,149.990383,1.6
120,39.800848,149.990383,1.7
120,39.800848,149.990383,1.8
120,39.800848,149.990383,1.9
120,39.800848,149.990383,2
120,39.800848,149.990383,2.1
120,39.800848,149.990383,2.2
87.504464,28.352268,108.498745,1
87.504464,28.352268,108.498745,1.1
87.504464,28.352268,108.498745,1.2
87.504464,28.352268,108.498745,1.3
87.504464,28.352268,108.498745,1.4
87.504464,28.352268,108.498745,1.5
87.504464,28.352268,108.498745,1.6
87.504464,28.352268,108.498745,1.7
87.504464,28.352268,108.498745,1.8
87.504464,28.352268,108.498745,1.9
87.504464,28.352268,108.498745,2
87.504464,28.352268,108.498745,2.1
87.504464,28.352268,108.498745,2.2
69.563447,21.998844,85.557821,1
69.563447,21.998844,85.557821,1.1
69.563447,21.998844,85.557821,1.2
69.563447,21.998844,85.557821,1.3
69.563447,21.998844,85.557821,1.4
69.563447,21.998844,85.557821,1.5
69.563447,21.998844,85.557821,1.6
69.563447,21.998844,85.557821,1.7
69.563447,21.998844,85.557821,1.8
69.563447,21.998844,85.557821,1.9
69.563447,21.998844,85.557821,2
69.563447,21.998844,85.557821,2.1
69.563447,21.998844,85.557821,2.2
57.953264,17.870586,70.698786,1
57.953264,17.870586,70.698786,1.1
57.953264,17.870586,70.698786,1.2
57.953264,17.870586,70.698786,1.3
57.953264,17.870586,70.698786,1.4
57.953264,17.870586,70.698786,1.5
57.953264,17.870586,70.698786,1.6
57.953264,17.870586,70.698786,1.7
57.953264,17.870586,70.698786,1.8
57.953264,17.870586,70.698786,1.9
57.953264,17.870586,70.698786,2
57.953264,17.870586,70.698786,2.1
57.953264,17.870586,70.698786,2.2
50.37395,15.130444,60.948966,1
50.37395,15.130444,60.948966,1.1
50.37395,15.130444,60.948966,1.2
50.37395,15.130444,60.948966,1.3
50.37395,15.130444,60.948966,1.4
50.37395,15.130444,60.948966,1.5
50.37395,15.130444,60.948966,1.6
50.37395,15.130444,60.948966,1.7
50.37395,15.130444,60.948966,1.8
50.37395,15.130444,60.948966,1.9
50.37395,15.130444,60.948966,2
50.37395,15.130444,60.948966,2.1
50.37395,15.130444,60.948966,2.2
