Width,Depth,Curve Length,aspeed
170,62.672774,220.984319,1
170,62.672774,220.984319,1.1
170,62.672774,220.984319,1.2
170,62.672774,220.984319,1.3
170,62.672774,220.984319,1.4
170,62.672774,220.984319,1.5
170,62.672774,220.984319,1.6
170,62.672774,220.984319,1.7
170,62.672774,220.984319,1.8
170,62.672774,220.984319,1.9
170,62.672774,220.984319,2
170,62.672774,220.984319,2.1
170,62.672774,220.984319,2.2
122.859803,44.404586,158.478102,1
122.859803,44.404586,158.478102,1.1
122.859803,44.404586,158.478102,1.2
122.859803,44.404586,158.478102,1.3
122.859803,44.404586,158.478102,1.4
122.859803,44.404586,158.478102,1.5
122.859803,44.404586,158.478102,1.6
122.859803,44.404586,158.478102,1.7
122.859803,44.404586,158.478102,1.8
122.859803,44.404586,158.478102,1.9
122.859803,44.404586,158.478102,2
122.859803,44.404586,158.478102,2.1
122.859803,44.404586,158.478102,2.2
94.563447,33.48601,121.032937,1
94.563447,33.48601,121.032937,1.1
94.563447,33.48601,121.032937,1.2
94.563447,33.48601,121.032937,1.3
94.563447,33.48601,121.032937,1.4
94.563447,33.48601,121.032937,1.5
94.563447,33.48601,121.032937,1.6
94.563447,33.48601,121.032937,1.7
94.563447,33.48601,121.032937,1.8
94.563447,33.48601,121.032937,1.9
94.563447,33.48601,121.032937,2
94.563447,33.48601,121.032937,2.1
94.563447,33.48601,121.032937,2.2
75.630934,26.222668,96.04485,1
75.630934,26.222668,96.04485,1.1
75.630934,26.222668,96.04485,1.2
75.630934,26.222668,96.04485,1.3
75.630934,26.222668,96.04485,1.4
75.630934,26.222668,96.04485,1.5
75.630934,26.222668,96.04485,1.6
75.630934,26.222668,96.04485,1.7
75.630934,26.222668,96.04485,1.8
75.630934,26.222668,96.04485,1.9
75.630934,26.222668,96.04485,2
75.630934,26.222668,96.04485,2.1
75.630934,26.222668,96.04485,2.2
62.87395,21.329449,79.215981,1
62.87395,21.329449,79.215981,1.1
62.87395,21.329449,79.215981,1.2
62.87395,21.329449,79.215981,1.3
62.87395,21.329449,79.215981,1.4
62.87395,21.329449,79.215981,1.5
62.87395,21.329449,79.215981,1.6
62.87395,21.329449,79.215981,1.7
62.87395,21.329449,79.215981,1.8
62.87395,21.329449,79.215981,1.9
62.87395,21.329449,79.215981,2
62.87395,21.329449,79.215981,2.1
62.87395,21.329449,79.215981,2.2
