Width,Depth,Curve Length,aspeed
115,42.396288,149.489392,1
115,42.396288,149.489392,1.1
115,42.396288,149.489392,1.2
115,42.396288,149.489392,1.3
115,42.396288,149.489392,1.4
115,42.396288,149.489392,1.5
115,42.396288,149.489392,1.6
115,42.396288,149.489392,1.7
115,42.396288,149.489392,1.8
115,42.396288,149.489392,1.9
115,42.396288,149.489392,2
115,42.396288,149.489392,2.1
115,42.396288,149.489392,2.2
84.410872,30.508187,108.882437,1
84.410872,30.508187,108.882437,1.1
84.410872,30.508187,108.882437,1.2
84.410872,30.508187,108.882437,1.3
84.410872,30.508187,108.882437,1.4
84.410872,30.508187,108.882437,1.5
84.410872,30.508187,108.882437,1.6
84.410872,30.508187,108.882437,1.7
84.410872,30.508187,108.882437,1.8
84.410872,30.508187,108.882437,1.9
84.410872,30.508187,108.882437,2
84.410872,30.508187,108.882437,2.1
84.410872,30.508187,108.882437,2.2
68.657355,24.312363,87.875406,1
68.657355,24.312363,87.875406,1.1
68.657355,24.312363,87.875406,1.2
68.657355,24.312363,87.875406,1.3
68.657355,24.312363,87.875406,1.4
68.657355,24.312363,87.875406,1.5
68.657355,24.312363,87.875406,1.6
68.657355,24.312363,87.875406,1.7
68.657355,24.312363,87.875406,1.8
68.657355,24.312363,87.875406,1.9
68.657355,24.312363,87.875406,2
68.657355,24.312363,87.875406,2.1
68.657355,24.312363,87.875406,2.2
58.593968,20.315631,74.409353,1
58.593968,20.315631,74.409353,1.1
58.593968,20.315631,74.409353,1.2
58.593968,20.315631,74.409353,1.3
58.593968,20.315631,74.409353,1.4
58.593968,20.315631,74.409353,1.5
58.593968,20.315631,74.409353,1.6
58.593968,20.315631,74.409353,1.7
58.593968,20.315631,74.409353,1.8
58.593968,20.315631,74.409353,1.9
58.593968,20.315631,74.409353,2
58.593968,20.315631,74.409353,2.1
58.593968,20.315631,74.409353,2.2
52.108404,17.67733,65.652283,1
52.108404,17.67733,65.652283,1.1
52.108404,17.67733,65.652283,1.2
52.108404,17.67733,65.652283,1.3
52.108404,17.67733,65.652283,1.4
52.108404,17.67733,65.652283,1.5
52.108404,17.67733,65.652283,1.6
52.108404,17.67733,65.652283,1.7
52.108404,17.67733,65.652283,1.8
52.108404,17.67733,65.652283,1.9
52.108404,17.67733,65.652283,2
52.108404,17.67733,65.652283,2.1
52.108404,17.67733,65.652283,2.2
47.707036,15.823171,59.629971,1
47.707036,15.823171,59.629971,1.1
47.707036,15.823171,59.629971,1.2
47.707036,15.823171,59.629971,1.3
47.707036,15.823171,59.629971,1.4
47.707036,15.823171,59.629971,1.5
47.707036,15.823171,59.629971,1.6
47.707036,15.823171,59.629971,1.7
47.707036,15.823171,59.629971,1.8
47.707036,15.823171,59.629971,1.9
47.707036,15.823171,59.629971,2
47.707036,15.823171,59.629971,2.1
47.707036,15.823171,59.629971,2.2
44.333709,14.364538,54.970359,1
44.333709,14.364538,54.970359,1.1
44.333709,14.364538,54.970359,1.2
44.333709,14.364538,54.970359,1.3
44.333709,14.364538,54.970359,1.4
44.333709,14.364538,54.970359,1.5
44.333709,14.364538,54.970359,1.6
44.333709,14.364538,54.970359,1.7
44.333709,14.364538,54.970359,1.8
44.333709,14.364538,54.970359,1.9
44.333709,14.364538,54.970359,2
44.333709,14.364538,54.970359,2.1
44.333709,14.364538,54.970359,2.2
41.241611,13.042306,50.724087,1
41.241611,13.042306,50.724087,1.1
41.241611,13.042306,50.724087,1.2
41.241611,13.042306,50.724087,1.3
41.241611,13.042306,50.724087,1.4
41.241611,13.042306,50.724087,1.5
41.241611,13.042306,50.724087,1.6
41.241611,13.042306,50.724087,1.7
41.241611,13.042306,50.724087,1.8
41.241611,13.042306,50.724087,1.9
41.241611,13.042306,50.724087,2
41.241611,13.042306,50.724087,2.1
41.241611,13.042306,50.724087,2.2
